"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 04-Jul-2024"
"NIFTY 50","25,428.85","25,470.25","25,331.65","25,405.30","25,461.00","-","55.70","0.22","19,35,11,595","19,101.23","26,277.35","21,743.65","3.42","4.77"
"BAJFINANCE","922.00","940.70","919.00","910.15","926.00","-","15.85","1.74","1,06,13,046","987.14","978.80","642.50","-89.70","-86.98"
"DRREDDY","1,303.00","1,313.00","1,287.20","1,291.30","1,310.00","-","18.70","1.45","14,66,009","190.41","1,421.49","1,020.00","4.43","-79.82"
"INFY","1,625.00","1,643.40","1,612.30","1,618.70","1,639.70","-","21.00","1.30","44,11,273","719.68","2,006.45","1,307.00","5.77","-0.60"
"HINDUNILVR","2,318.00","2,341.40","2,310.30","2,313.40","2,341.30","-","27.90","1.21","12,42,346","289.57","3,035.00","2,136.00","-1.07","-6.28"
"ICICIBANK","1,427.00","1,444.40","1,421.10","1,425.90","1,443.00","-","17.10","1.20","50,66,503","726.29","1,471.60","1,153.00","0.82","17.02"
"WIPRO","268.30","271.40","267.50","267.05","269.45","-","2.40","0.90","71,41,779","192.23","324.60","228.00","9.39","-49.11"
"ULTRACEMCO","12,400.00","12,542.00","12,341.00","12,398.00","12,505.00","-","107.00","0.86","1,91,516","238.07","12,575.00","10,047.85","13.35","6.34"
"HCLTECH","1,715.00","1,729.00","1,706.20","1,711.90","1,725.90","-","14.00","0.82","7,68,500","132.11","2,012.20","1,302.75","6.14","13.37"
"TECHM","1,645.00","1,663.90","1,640.50","1,671.90","1,655.00","-","13.10","0.80","13,10,544","216.80","1,807.70","1,209.40","6.33","13.44"
"RELIANCE","1,524.00","1,530.00","1,517.20","1,517.80","1,528.10","-","10.30","0.68","66,03,501","1,006.09","1,608.80","1,114.85","7.29","-50.86"
"HEROMOTOCO","4,325.00","4,374.70","4,307.10","4,310.60","4,337.80","-","27.20","0.63","4,37,195","190.02","6,246.25","3,344.00","3.44","-21.83"
"HINDALCO","692.00","700.75","689.40","692.85","696.95","-","4.10","0.59","26,80,991","186.30","772.65","546.45","10.00","1.10"
"BAJAJFINSV","1,993.00","2,032.90","1,985.00","1,980.70","1,992.10","-","11.40","0.58","15,09,178","302.60","2,135.00","1,523.25","1.96","25.77"
"BAJAJ-AUTO","8,382.00","8,450.00","8,364.50","8,382.50","8,430.00","-","47.50","0.57","1,83,720","154.63","12,774.00","7,089.35","-1.52","-10.86"
"NESTLEIND","2,384.90","2,397.00","2,367.10","2,388.40","2,392.00","-","13.60","0.57","3,95,057","94.04","2,778.00","2,110.00","-0.20","-5.99"
"TCS","3,408.00","3,427.00","3,390.10","3,400.80","3,420.00","-","19.20","0.56","11,09,320","378.71","4,592.25","3,056.05","1.15","-14.95"
"SHRIRAMFIN","675.95","684.40","670.00","675.40","679.00","-","3.60","0.53","38,43,226","260.31","730.45","493.35","5.45","-76.14"
"SBIN","808.75","813.85","804.10","807.10","811.25","-","4.15","0.51","43,19,538","349.22","899.00","680.00","0.66","-3.27"
"ONGC","245.20","245.45","242.51","244.05","245.20","-","1.15","0.47","77,17,259","188.63","345.00","205.00","3.02","-11.48"
"AXISBANK","1,174.00","1,179.50","1,162.00","1,171.10","1,175.20","-","5.10","0.44","39,26,186","460.07","1,339.65","933.50","0.56","-8.06"
"M&M","3,161.10","3,177.00","3,134.10","3,174.40","3,162.00","-","12.90","0.41","9,68,006","305.43","3,270.95","2,425.00","3.57","8.95"
"POWERGRID","293.70","295.15","291.65","293.70","294.70","-","1.00","0.34","1,41,93,884","415.80","366.25","247.30","1.89","-12.24"
"LT","3,590.00","3,600.00","3,570.10","3,582.90","3,595.00","-","12.10","0.34","6,96,402","249.83","3,963.50","2,965.30","-0.88","0.60"
"NTPC","335.70","336.00","332.25","334.60","335.75","-","1.15","0.34","58,99,185","197.05","448.45","292.80","1.90","-10.04"
"BEL","430.00","432.40","425.75","426.25","427.50","-","1.25","0.29","1,66,18,426","713.03","436.00","240.25","9.46","34.73"
"HDFCBANK","1,987.10","2,003.50","1,980.00","1,987.10","1,992.70","-","5.60","0.28","39,31,972","781.48","2,027.10","1,588.05","2.48","15.18"
